,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AET,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,AME,AMGN,APH,APC,ADI,ANDV,ANSS,ANTM,AON,AOS,APA
MMM,1.0,0.8483929217913877,0.9369689816059189,0.9209447317621554,0.9364340891616584,0.930296154656978,0.9673562613309549,0.7553617017698951,0.38613917516655,-0.09530814716324575,0.956777869686349,-0.07808499579747383,0.9299961346972401,0.9292408805209833,0.9061602404293049,0.28445440585919907,0.844913191705749,0.7935896233930889,0.9523085639240406,0.11909656707462477,0.8976036111604528,0.9413821866260108,0.49921665823532557,0.26581452070952133,0.9642097947613265,0.9802789737159754,0.9267569492636822,0.8838744482480437,0.915521305332392,0.9057022606778752,0.9656002758220495,0.20371307292945295,0.9602716254166561,0.2964801632857407,0.8630326161689819,0.9589800624835643,0.9391784062928845,0.7919345147413113,0.6103038930267222,0.7950732650642225,0.9092883438498071,0.9808329506299287,-0.650718047229075,0.9399786466031033,0.7585689144940656,0.8562225964253862,0.9340193826554773,0.9854976999018078,0.955743967034641,-0.6480620978015919
ABT,0.8483929217913877,1.0,0.936256821425942,0.793344960049332,0.7902311263965149,0.7808398388187562,0.8455024391915003,0.5399845693412004,0.2935766892878924,-0.06268691542748099,0.885060332020081,0.28458433930347293,0.7674421617561591,0.8195723517135852,0.8490702100876025,0.42418896759196983,0.7086765629861926,0.6286912127994463,0.8241979020419732,0.32457737722028734,0.7991683859576608,0.7523920949256765,0.5512199872917639,0.4620111520835744,0.7643483693686366,0.8885494868630454,0.7651477612727973,0.5887007387978795,0.716122777618277,0.7239006970943089,0.7719781419059697,0.30655494625589536,0.7987998347557287,0.5060478147465087,0.7805089665096365,0.8476092150371389,0.7254870229786591,0.891955171583078,0.7325031247211529,0.8917066066848527,0.8757015802924026,0.8743520235261585,-0.484616143584822,0.8352477679029133,0.8893211610000027,0.8102921491173166,0.9286119420981696,0.8647790528097185,0.7915157390451918,-0.647439889417076
ABBV,0.9369689816059189,0.936256821425942,1.0,0.8835427434481972,0.8899584054660964,0.8677687119310222,0.9258445620091698,0.6464076015866084,0.2599151589327905,-0.0720844442061814,0.9376413953885783,0.12441838822228916,0.8834538599502515,0.9016076612872839,0.8790546136222498,0.332430587490914,0.7195619856485385,0.7624528492873427,0.8863782094865145,0.1690225888246588,0.8970875046956459,0.8454613126474932,0.4329333455042284,0.3099045345704672,0.8791034994758007,0.9412140034510801,0.8598009973984994,0.7622511973297861,0.7988834630878379,0.8366680900301119,0.8848991121230808,0.25191399197263953,0.8916002011815303,0.4660223610320893,0.805698582310233,0.9173231071373701,0.8534309688096182,0.8612615374774872,0.616325610903493,0.8687408458704776,0.890223731405256,0.9420133564809243,-0.5866026091207373,0.8901536600520517,0.9077052056205497,0.8647554280192962,0.9344239702440067,0.9354428652764779,0.8855983451781339,-0.6569874683838735
ABMD,0.9209447317621554,0.793344960049332,0.8835427434481972,1.0,0.9813968898322789,0.9601978395064578,0.9536380940591278,0.7329259440165333,0.27526657324515375,-0.33551681925662863,0.9607573598939175,-0.25066185186356144,0.9079087920314376,0.8614008427694317,0.8221402887747654,0.19103330279541136,0.8166618366554673,0.7919543155484838,0.9471030175538011,-0.09809668698724575,0.8843867758842521,0.9488935884008983,0.3463639820889845,0.047105081380477316,0.9400861249392474,0.9045402768552638,0.9455994477217712,0.9286040526022921,0.9207674274106579,0.9703785886112491,0.947918168449553,0.20104921697350642,0.938710833031881,0.13952356932301138,0.8075137910122507,0.9259896205219351,0.955049040924108,0.6486840436772602,0.5333646300403703,0.7207989163049041,0.8587668946020742,0.9361422977594759,-0.8003658457002177,0.9196469532058013,0.7809882294332016,0.8820788907044129,0.8915442832438775,0.9290208881181897,0.975444893987071,-0.7878642167871712
ACN,0.9364340891616584,0.7902311263965149,0.8899584054660964,0.9813968898322789,1.0,0.9589669128564863,0.96014455493501,0.7438842664916241,0.2986283485220789,-0.30840385424082073,0.959228802763375,-0.23677070515504256,0.9143187780333443,0.8716744425160922,0.8335292036615075,0.20401157873431502,0.8302235288846886,0.8038484901734967,0.9521281755487482,-0.07473693358272476,0.8809844180845418,0.9510959922412094,0.346475055344672,0.0666954422930418,0.954111380557318,0.9171987651816721,0.9544917117019808,0.9406488939803107,0.9338371227066933,0.9700704287056469,0.962030856939861,0.18052193686283724,0.9525253914568651,0.1659309213996145,0.8243384448119598,0.935000053165914,0.9670632222359545,0.6651374179333702,0.5226408894641555,0.7261129489413221,0.8615982554789978,0.9479171877299398,-0.787797438491612,0.928418709900094,0.8717335566352721,0.8630436796482787,0.8926358446637626,0.9393339074606594,0.9775988316751734,-0.7584263544229214
ATVI,0.930296154656978,0.7808398388187562,0.8677687119310222,0.9601978395064578,0.9589669128564863,1.0,0.9775053865735422,0.814591204051404,0.17005623399011324,-0.27004233699255714,0.9375551461131911,-0.24104089461930955,0.9310503687662176,0.9211553149464047,0.7746997342751745,0.0793703720026456,0.7815646699111833,0.8618085847722653,0.9314341526214398,-0.12013046620245132,0.9175402201253653,0.9562950241958779,0.2924290863930629,0.054182581987036044,0.941914273300373,0.9209805759546761,0.9687002760792728,0.9719523488753925,0.8963909395140165,0.9779547465996071,0.9575363422359001,0.2040781843501798,0.9359328510318461,0.23476935917988037,0.7948016288768415,0.9584137697246548,0.945534184351306,0.676617817769347,0.4518631203300986,0.7710546186302463,0.825694923840052,0.939579794959576,-0.7656895954805738,0.9288563030292657,0.14842957241890273,0.9060823170727289,0.877102637675914,0.942164028917539,0.9670733433042011,-0.7038162805589738
ADBE,0.9673562613309549,0.8455024391915003,0.9258445620091698,0.9536380940591278,0.96014455493501,0.9775053865735422,1.0,0.806321248842613,0.19483850533485966,-0.19675882177276993,0.960628386704632,-0.11229339045517443,0.943954163109423,0.9534864224266133,0.8288807519039166,0.18227873293420457,0.7851236560093922,0.8687646762577177,0.9434082758895959,-0.03791227489666876,0.9495126168255137,0.9419986234735537,0.32465685926332405,0.15758865113715706,0.9466942225154177,0.9643812036058131,0.9657288863596312,0.9541872571900286,0.8855498189323618,0.9597551901329104,0.966160474576555,0.2424959506837395,0.9440272518084744,0.3598413019038013,0.8208862571603255,0.9697853693430987,0.9369301876989525,0.7813915949648879,0.5018261694894284,0.8398267719616377,0.8489817774441997,0.9759382600956197,-0.7035776339798651,0.9561007995006742,0.6552171815031528,0.9256396832794683,0.9265705875821891,0.9667155780721437,0.9638331867764889,-0.6778687231837455
AMD,0.7553617017698951,0.5399845693412004,0.6464076015866084,0.7329259440165333,0.7438842664916241,0.814591204051404,0.806321248842613,1.0,-0.09470238510106536,-0.016512919568329582,0.7000454536696419,-0.2229184567678702,0.8249857069208288,0.8519735444237396,0.5066499095721168,-0.04618257043014034,0.5754185820743659,0.9240833371506969,0.7830910043246132,-0.3654000585244586,0.8077217889399798,0.7755127563286328,-0.059971108006638345,-0.08837430926001988,0.77703225001022,0.7851511603903679,0.7731015488309794,0.8199173794296265,0.6938863216215874,0.8130757716048691,0.8040317004298045,0.3001042753387791,0.7156690196042741,0.36674261305117545,0.6204479068488737,0.7874759701738551,0.7530315912685237,0.5875043091618207,0.12347276561145147,0.6066735178185773,0.5551664315402983,0.7996240137180809,-0.46133753115415654,0.8546828959100691,-0.46894648553084384,0.7718709894812474,0.6506523829647837,0.7771948478974839,0.8003223040771724,-0.33398547692809094
AAP,0.38613917516655,0.2935766892878924,0.2599151589327905,0.27526657324515375,0.2986283485220789,0.17005623399011324,0.19483850533485966,-0.09470238510106536,1.0,-0.08597135679601645,0.34830897714750986,0.01713027285288391,0.12523603852445656,0.0326112924248501,0.5868281150728,0.7316452597555126,0.6546775328860703,-0.19831039431556435,0.33217178490586813,0.6145587475362444,-0.06642063554139849,-0.16423991324376724,0.8270458989762886,0.556878514134174,0.302329586433153,0.22145136532040907,0.28817696619805544,-0.4283519202243224,0.49946325250693163,0.2020626328108233,0.2773793018992104,-0.17516646617711135,0.34998093110136,-0.10180730366327226,0.5720839892255213,0.19361707954769677,0.3124659221405805,0.24501273616071573,0.741550418073431,0.11946475521198986,0.5408178924663605,0.2552690321257651,-0.20863955044812799,0.2126118212741535,-0.2072439976180678,-0.04263182811295664,0.355657171613097,0.2983726703666861,0.29727833023593314,-0.4133962456711427
AES,-0.09530814716324575,-0.06268691542748099,-0.0720844442061814,-0.33551681925662863,-0.30840385424082073,-0.27004233699255714,-0.19675882177276993,-0.016512919568329582,-0.08597135679601645,1.0,-0.23345994209600474,0.5671485204060869,-0.030870338795375634,0.0005964120933717172,-0.05657363492317495,0.18010428008982346,-0.3151961885195936,-0.016206279215628193,-0.20383879140369215,0.17155744329106135,-0.1312252891746372,-0.4142217290723438,-0.10091033255414539,0.305186096244906,-0.17710686787264251,-0.10969476685683964,-0.24493549309499724,-0.38240938169972055,-0.31768975693135487,-0.30191063939366325,-0.20785687598466676,-0.0212858347115917,-0.22199974522790225,0.5229560128284889,-0.08128498387557444,-0.1391509288329143,-0.26199400653175114,0.1593135976598688,-0.12746627862930626,0.015626640202372432,-0.1711980512916706,-0.11525727625025725,0.6511312997115878,-0.14108260595041586,-0.570936750263548,-0.1988143920343419,-0.18236159134058738,-0.08088363963511679,-0.23085420117514616,0.6490484388859336
