Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2013-01-02,43.59,43.74,43.225,43.49,1972400.0,0.0,1.0,40.301771525977,40.440456218083,39.964305441853,40.209315064573005,1972400.0
2013-01-03,43.54,43.55,43.2,43.4,2026700.0,0.0,1.0,40.255543295275004,40.264788941415,39.941191326502,40.126104249309,2026700.0
2013-01-04,43.22,43.73,43.01,43.69,2461500.0,0.0,1.0,39.959682618782,40.431210571942,39.765524049834,40.394227987381,2461500.0
2013-01-07,43.7,43.89,43.5,43.83,1803600.0,0.0,1.0,40.403473633520996,40.579140910189,40.218560710713,40.523667033346,1803600.0
2013-01-08,43.76,44.1,43.73,43.77,1533000.0,0.0,1.0,40.458947510364,40.773299479137,40.431210571942,40.468193156504,1533000.0
2013-01-09,43.81,43.985,43.58,43.77,1513300.0,0.0,1.0,40.505175741066,40.666974548523,40.292525879837,40.468193156504,1513300.0
2013-01-10,43.95,43.99,43.69,43.89,1579900.0,0.0,1.0,40.634614787031005,40.671597371593,40.394227987381,40.579140910189,1579900.0
2013-01-11,43.92,44.0,43.51,43.84,1414800.0,0.0,1.0,40.60687784861,40.680843017733004,40.227806356854,40.532912679487,1414800.0
2013-01-14,43.99,44.37,43.8,44.29,1367400.0,0.0,1.0,40.671597371593,41.022931924928,40.495930094925,40.948966755805,1367400.0
2013-01-15,44.28,45.17,44.2,45.07,2429500.0,0.0,1.0,40.939721109664,41.762583616159,40.865755940541,41.670127154755,2429500.0
2013-01-16,45.11,45.31,44.89,45.02,1780300.0,0.0,1.0,41.707109739317005,41.892022662125,41.503705524228,41.623898924053,1780300.0
2013-01-17,45.27,45.68,45.211999999999996,45.52,1419900.0,0.0,1.0,41.855040077563,42.234111569319,41.801415329949,42.086181231073,1419900.0
2013-01-18,45.47,45.85,45.28,45.85,1809700.0,0.0,1.0,42.039953000371,42.391287553706,41.864285723704,42.391287553706,1809700.0
2013-01-22,45.9,45.91,45.31,45.62,1467800.0,0.0,1.0,42.437515784408,42.446761430548,41.892022662125,42.178637692477004,1467800.0
2013-01-23,45.67,46.59,45.6,46.18,3324400.0,0.0,1.0,42.224865923179,43.075465368094996,42.160146400196,42.696393876339,3324400.0
2013-01-24,45.92,46.15,44.73,45.72,3580300.0,0.0,1.0,42.456007076689,42.668656937918,41.355775185982,42.271094153881,3580300.0
2013-01-25,45.78,45.84,44.87,45.03,2906200.0,0.0,1.0,42.326568030723,42.382041907566,41.485214231947,41.633144570194,2906200.0
2013-01-28,45.06,45.21,44.865,45.11,2041900.0,0.0,1.0,41.660881508615,41.799566200721,41.480591408877004,41.707109739317005,2041900.0
2013-01-29,45.13,45.77,45.02,45.54,2363500.0,0.0,1.0,41.725601031598,42.317322384583,41.623898924053,42.104672523354004,2363500.0
2013-01-30,45.62,45.978,45.5,45.58,2208300.0,0.0,1.0,42.178637692477004,42.509631824303,42.067689938792,42.141655107915,2208300.0
2013-01-31,45.52,45.56,45.17,45.37,2837600.0,0.0,1.0,42.086181231073,42.123163815634996,41.762583616159,41.947496538967,2837600.0
2013-02-01,45.4,46.77,45.4,46.53,3978600.0,0.0,1.0,41.975233477388,43.241886998622,41.975233477388,43.019991491253,3978600.0
2013-02-04,46.35,46.61,45.99,46.04,2611500.0,0.0,1.0,42.853569860726,43.093956660375994,42.520726599671,42.566954830373,2611500.0
2013-02-05,46.19,46.46,46.03,46.28,1950900.0,0.0,1.0,42.705639522479,42.95527196827,42.557709184233,42.788850337743,1950900.0
2013-02-06,46.18,46.47,46.17,46.47,3034800.0,0.0,1.0,42.696393876339,42.96451761441,42.687148230199,42.96451761441,3034800.0
2013-02-07,46.48,46.62,45.99,46.4,2420000.0,0.0,1.0,42.973763260551,43.103202306515996,42.520726599671,42.899798091427996,2420000.0
2013-02-08,46.52,46.895,46.46,46.89,1232800.0,0.0,1.0,43.010745845112,43.357457575377,42.95527196827,43.352834752307,1232800.0
2013-02-11,46.85,47.0,46.5,46.76,1115900.0,0.0,1.0,43.315852167745,43.454536859851,42.992254552832,43.232641352482005,1115900.0
2013-02-12,46.7,47.05,46.6,46.96,1318800.0,0.0,1.0,43.177167475639,43.500765090552996,43.084711014236,43.41755427529,1318800.0
2013-02-13,46.74,46.9,46.6,46.64,2645300.0,0.21,1.0,43.408724921106995,43.557321326485,43.27870306640099,43.315852167745,2645300.0
2013-02-14,46.67,46.99,46.6,46.77,1941900.0,0.0,1.0,43.343713993753994,43.64090680451,43.27870306640099,43.436586747115,1941900.0
2013-02-15,46.77,47.09,46.51,46.6,2962100.0,0.0,1.0,43.436586747115,43.733779557872,43.195117588376,43.27870306640099,2962100.0
2013-02-19,46.67,47.24,46.62,47.22,1831500.0,0.0,1.0,43.343713993753994,43.873088687914,43.297277617073,43.854514137241004,1831500.0
2013-02-20,47.22,47.39,46.59,46.61,1970300.0,0.0,1.0,43.854514137241004,44.012397817956,43.26941579106499,43.287990341737,1970300.0
2013-02-21,46.48,46.62,46.1633,46.48,1432400.0,0.0,1.0,43.167255762367,43.297277617073,42.873127752472,43.167255762367,1432400.0
2013-02-22,46.48,47.03,46.385,46.95,1003700.0,0.0,1.0,43.167255762367,43.678055905855,43.079026646674,43.603757703165996,1003700.0
2013-02-25,47.1,47.25,46.18,46.18,1794900.0,0.0,1.0,43.743066833208,43.88237596325,42.888637502283004,42.888637502283004,1794900.0
2013-02-26,46.38,46.62,46.08,46.57,1373600.0,0.0,1.0,43.074383009006006,43.297277617073,42.795764748922,43.250841240392,1373600.0
2013-02-27,46.66,47.21,46.58,47.03,855100.0,0.0,1.0,43.334426718417994,43.845226861905005,43.260128515729,43.678055905855,855100.0
2013-02-28,46.96,47.51,46.81,47.2,2253700.0,0.0,1.0,43.613044978501996,44.123845121989,43.473735848459995,43.835939586569005,2253700.0
2013-03-01,47.22,48.14,46.89,47.98,2135900.0,0.0,1.0,43.854514137241004,44.708943468166,43.548034051148996,44.560347062788,2135900.0
2013-03-04,47.83,48.25,47.66,48.25,2132800.0,0.0,1.0,44.421037932746,44.811103496863005,44.263154252031,44.811103496863005,2132800.0
2013-03-05,48.04,48.4,47.96,48.27,1646800.0,0.0,1.0,44.616070714805005,44.950412626906,44.541772512116005,44.829678047536,1646800.0
2013-03-06,48.44,48.8,48.27,48.48,1494700.0,0.0,1.0,44.98756172825,45.321903640351,44.829678047536,45.024710829595,1494700.0
2013-03-07,48.44,48.65,47.68,48.08,1785900.0,0.0,1.0,44.98756172825,45.182594510309,44.281728802704,44.653219816149,1785900.0
2013-03-08,48.27,48.51,47.97,48.48,1426400.0,0.0,1.0,44.829678047536,45.052572655603,44.551059787452004,45.024710829595,1426400.0
2013-03-11,48.36,48.74,48.29,48.55,1495100.0,0.0,1.0,44.913263525561,45.266179988333995,44.848252598208,45.089721756948,1495100.0
2013-03-12,48.52,48.85,48.44,48.65,1222600.0,0.0,1.0,45.061859930939,45.368340017032004,44.98756172825,45.182594510309,1222600.0
2013-03-13,48.71,48.9,48.57,48.86,859200.0,0.0,1.0,45.238318162326,45.414776393711996,45.10829630762,45.377627292368004,859200.0
2013-03-14,49.0,49.39,48.91,49.29,1810900.0,0.0,1.0,45.507649147074005,45.869852885183,45.424063669049,45.77698013182201,1810900.0
2013-03-15,49.14,49.245,48.82,48.89,2025400.0,0.0,1.0,45.63767100177999,45.735187392809,45.340478191022996,45.405489118375996,2025400.0
2013-03-18,48.32,48.67,48.16,48.3,2602100.0,0.0,1.0,44.876114424216006,45.201169060980995,44.727518018838,44.857539873544,2602100.0
2013-03-19,51.39,52.15,49.92,50.06,17071100.0,0.0,1.0,47.727307952411,48.433140877957,46.362078477998,46.492100332704,17071100.0
2013-03-20,50.31,50.45,49.72,50.24,3203700.0,0.0,1.0,46.724282216108,46.854304070814,46.176332971276,46.659271288755,3203700.0
2013-03-21,50.11,50.54,49.56,49.79,2285000.0,0.0,1.0,46.538536709385006,46.937889548838996,46.027736565897996,46.241343898629,2285000.0
2013-03-22,49.8,49.919,49.6,49.82,2917300.0,0.0,1.0,46.250631173965,46.361149750465,46.064885667242,46.269205724637004,2917300.0
2013-03-25,49.95,50.95,49.84,50.59,3248100.0,0.0,1.0,46.389940304007,47.318667837621,46.287780275309,46.984325925520004,3248100.0
2013-03-26,50.86,51.21,50.47,50.72,2428300.0,0.0,1.0,47.235082359595005,47.560136996359994,46.872878621485995,47.105060504889,2428300.0
2013-03-27,50.51,50.9,50.33,50.71,2027900.0,0.0,1.0,46.910027722831,47.27223146094,46.742856766779994,47.095773229553004,2027900.0
2013-03-28,50.96,51.57,50.795,51.45,2835600.0,0.0,1.0,47.327955112957,47.894478908461,47.17471506991,47.783031604427,2835600.0
2013-04-01,51.38,51.659,51.29,51.64,1429400.0,0.0,1.0,47.718020677075,47.977135658952996,47.634435199048994,47.959489835814,1429400.0
2013-04-02,51.92,53.36,51.85,52.41,4047700.0,0.0,1.0,48.219533545226,49.55690119363,48.154522617873,48.674610036697,4047700.0
2013-04-03,52.57,52.83,51.315,51.69,4837400.0,0.0,1.0,48.823206442075005,49.064675600814,47.657653387390006,48.005926212495005,4837400.0
2013-04-04,51.69,52.83,51.67,51.82,2840100.0,0.0,1.0,48.005926212495005,49.064675600814,47.987351661823,48.12666079186499,2840100.0
2013-04-05,51.43,52.12,51.41,52.08,1596400.0,0.0,1.0,47.764457053754995,48.405279051948995,47.745882503083,48.368129950604,1596400.0
2013-04-08,52.18,52.7,51.69,52.63,2294600.0,0.0,1.0,48.461002703965995,48.943941021445,48.005926212495005,48.878930094092,2294600.0
2013-04-09,52.75,53.15,52.49,52.92,3118200.0,0.0,1.0,48.990377398125,49.361868411570995,48.748908239386,49.14826107884,3118200.0
2013-04-10,53.93,54.0,53.075,53.3,3148400.0,0.0,1.0,50.08627588779,50.151286815143,49.29221384655,49.501177541612996,3148400.0
2013-04-11,53.28,54.16,53.25,53.81,2354400.0,0.0,1.0,49.482602990941,50.299883220521004,49.454741164932,49.974828583756,2354400.0
2013-04-12,53.78,54.33,53.68,54.18,1269300.0,0.0,1.0,49.946966757748,50.457766901235,49.854094004386,50.318457771192996,1269300.0
2013-04-15,54.14,54.346000000000004,53.84,54.04,2243200.0,0.0,1.0,50.281308669848,50.472626541773,50.00269040976401,50.188435916486995,2243200.0
2013-04-16,54.48,54.9875,54.12,54.95,2050600.0,0.0,1.0,50.597076031277,51.068405254586,50.262734119175995,51.033577972075996,2050600.0
2013-04-17,54.78,55.19,54.45,55.06,3176700.0,0.0,1.0,50.875694291361,51.256472580143004,50.569214205269006,51.135738000773,3176700.0
2013-04-18,55.06,56.07,55.02,55.44,4273900.0,0.0,1.0,51.135738000773,52.073752809723,51.098588899429,51.488654463546,4273900.0
2013-04-19,55.61,55.99,55.24,55.92,2023400.0,0.0,1.0,51.646538144261,51.999454607034,51.302908956824,51.934443679680996,2023400.0
2013-04-22,56.42,56.44,55.65,56.2,2571100.0,0.0,1.0,52.398807446488,52.41738199715999,51.683687245605,52.194487389093,2571100.0
2013-04-23,56.39,56.91,55.94,56.3,2419400.0,0.0,1.0,52.370945620479,52.853883937959004,51.953018230353,52.287360142454006,2419400.0
2013-04-24,56.33,56.595,55.63,55.82,3091300.0,0.0,1.0,52.315221968463,52.561334764870004,51.66511269493301,51.84157092632,3091300.0
2013-04-25,55.82,56.0,53.125,53.41,7988800.0,0.0,1.0,51.84157092632,52.00874188237,49.338650223231,49.60333757031,7988800.0
2013-04-26,53.0,53.6,52.78,53.26,5365100.0,0.0,1.0,49.222559281528994,49.779795801697,49.018239224134,49.464028440268,5365100.0
2013-04-29,53.33,54.28,53.25,54.06,3329100.0,0.0,1.0,49.529039367621,50.411330524554,49.454741164932,50.207010467159,3329100.0
2013-04-30,54.07,54.13,53.6,54.12,2064900.0,0.0,1.0,50.216297742496,50.272021394511995,49.779795801697,50.262734119175995,2064900.0
2013-05-01,54.06,54.4,53.76,53.84,2418000.0,0.0,1.0,50.207010467159,50.522777828588,49.92839220707501,50.00269040976401,2418000.0
2013-05-02,53.85,54.86,53.77,54.85,2157900.0,0.0,1.0,50.011977685101,50.94999249405,49.937679482411006,50.940705218714,2157900.0
2013-05-03,55.01,55.08,54.42,54.57,1850800.0,0.0,1.0,51.089301624091995,51.154312551444995,50.54135237926,50.680661509302,1850800.0
2013-05-06,54.49,54.71,54.34,54.4,1401200.0,0.0,1.0,50.606363306613,50.810683364008,50.467054176571,50.522777828588,1401200.0
2013-05-07,54.59,55.04,54.37,54.98,2142100.0,0.0,1.0,50.69923605997501,51.117163450101,50.49491600257999,51.061439798084,2142100.0
2013-05-08,55.03,55.21,54.615,55.1,2598700.0,0.0,1.0,51.107876174764996,51.275047130815004,50.722454248315,51.172887102118,2598700.0
2013-05-09,54.91,55.09,54.49,54.81,1708200.0,0.0,1.0,50.996428870731,51.163599826782,50.606363306613,50.90355611737,1708200.0
2013-05-10,54.98,55.0,54.63,54.84,1324800.0,0.0,1.0,51.061439798084,51.080014348756,50.736385161319,50.931417943378,1324800.0
2013-05-13,54.68,54.88,54.45,54.48,2022800.0,0.0,1.0,50.782821538,50.968567044722995,50.569214205269006,50.597076031277,2022800.0
2013-05-14,54.47,54.99,54.25,54.96,2369200.0,0.0,1.0,50.587788755941,51.07072707342,50.383468698546,51.042865247412,2369200.0
2013-05-15,55.0,55.48,54.645,55.01,2859300.0,0.0,1.0,51.080014348756,51.52580356489101,50.750316074322996,51.089301624091995,2859300.0
2013-05-16,54.64,55.06,54.29,54.4,1766600.0,0.21,1.0,50.941565657459,51.33313698937899,50.615256214192,50.717810610647,1766600.0
2013-05-17,54.44,55.07,54.18,54.99,2180100.0,0.0,1.0,50.755103118449,51.342460116329995,50.512701817735994,51.267875100726,2180100.0
2013-05-20,55.01,55.23,54.71,54.82,1712700.0,0.0,1.0,51.286521354627,51.491630147537,51.00682754611201,51.109381942567,1712700.0
2013-05-21,54.77,54.94,54.4,54.65,1698200.0,0.0,1.0,51.062766307815,51.221259465973,50.717810610647,50.950888784408995,1698200.0
2013-05-22,54.72,55.11,54.37,54.46,2471600.0,0.0,1.0,51.016150673063,51.379752624131,50.689841229795,50.77374937235,2471600.0
2013-05-23,54.32,54.8,54.05,54.58,1816000.0,0.0,1.0,50.643225595043,51.090735688666,50.39150116738,50.885626895756,1816000.0
2013-05-24,54.36,54.56,54.04,54.44,1935100.0,0.0,1.0,50.680518102845,50.866980641855,50.382178040429004,50.755103118449,1935100.0
2013-05-28,54.77,55.2,54.045,54.37,2759300.0,0.0,1.0,51.062766307815,51.463660766686,50.386839603905,50.689841229795,2759300.0
2013-05-29,54.17,54.5,53.22,53.9,2679200.0,0.0,1.0,50.503378690786,50.811041880152,49.61768163049,50.251654263122994,2679200.0
2013-05-30,54.0,55.02,53.9,54.72,1743800.0,0.0,1.0,50.344885532627,51.295844481577,50.251654263122994,51.016150673063,1743800.0
2013-05-31,54.49,54.72,54.08,54.08,2534700.0,0.0,1.0,50.801718753201,51.016150673063,50.419470548231004,50.419470548231004,2534700.0
2013-06-03,54.01,54.14,52.38,52.68,3582100.0,0.0,1.0,50.354208659578,50.475409309933994,48.834538966649,49.114232775163,3582100.0
2013-06-04,52.73,53.4,52.69,53.26,2779700.0,0.0,1.0,49.160848409916,49.785497915598,49.123555902114,49.654974138290996,2779700.0
2013-06-05,53.04,53.365,52.84,52.9,3433100.0,0.0,1.0,49.449865345381,49.752866971272,49.263402806371005,49.319341568073995,3433100.0
2013-06-06,52.81,53.08,52.44,52.55,3420300.0,0.0,1.0,49.23543342552,49.487157853183,48.890477728352,48.993032124806994,3420300.0
2013-06-07,52.7,53.25,52.7,52.94,3489200.0,0.0,1.0,49.132879029064,49.645651011341,49.132879029064,49.356634075875995,3489200.0
2013-06-10,53.13,53.84,52.97,53.71,2497500.0,0.0,1.0,49.533773487935,50.195715501420004,49.384603456727,50.074514851063,2497500.0
2013-06-11,53.96,55.18,53.94,54.81,3596200.0,0.0,1.0,50.307593024826005,51.445014512784994,50.288946770924994,51.100058815617,3596200.0
2013-06-12,55.02,55.35,54.72,54.75,3673500.0,0.0,1.0,51.295844481577,51.603507670943,51.016150673063,51.044120053914,3673500.0
2013-06-13,54.61,54.69,54.04,54.56,2551400.0,0.0,1.0,50.913596276606995,50.988181292210996,50.382178040429004,50.866980641855,2551400.0
2013-06-14,54.44,55.21,54.4,54.93,1985300.0,0.0,1.0,50.755103118449,51.472983893636,50.717810610647,51.211936339023,1985300.0
2013-06-17,55.13,55.68,55.05,55.66,2929400.0,0.0,1.0,51.398398878032,51.911170860309,51.323813862429,51.892524606408,2929400.0
2013-06-18,55.68,55.98,55.39,55.86,1805600.0,0.0,1.0,51.911170860309,52.190864668824,51.640800178745,52.078987145418,1805600.0
2013-06-19,55.78,56.39,55.39,55.56,2227200.0,0.0,1.0,52.004402129814,52.573112873794,51.640800178745,51.799293336903,2227200.0
2013-06-20,55.47,55.61,54.01,54.14,3015200.0,0.0,1.0,51.715385194349004,51.845908971656,50.354208659578,50.475409309933994,3015200.0
2013-06-21,54.24,54.93,54.15,54.34,2668500.0,0.0,1.0,50.568640579439,51.211936339023,50.484732436885004,50.661871848943996,2668500.0
2013-06-24,54.02,54.31,53.25,53.61,2936800.0,0.0,1.0,50.36353178652799,50.633902468093005,49.645651011341,49.981283581559,2936800.0
2013-06-25,53.74,53.77,53.06,53.55,2846600.0,0.0,1.0,50.102484231915,50.130453612766,49.468511599281996,49.92534481985601,2846600.0
2013-06-26,53.78,55.29,53.78,55.04,2503200.0,0.0,1.0,50.139776739717,51.54756890924,50.139776739717,51.314490735478,2503200.0
2013-06-27,55.37,55.76,55.1,55.31,2446300.0,0.0,1.0,51.622153924844,51.985755875913,51.37042949718099,51.566215163141,2446300.0
2013-06-28,55.5,56.33,55.03,55.83,3350300.0,0.0,1.0,51.7433545752,52.517174112091,51.305167608528,52.051017764567,3350300.0
2013-07-01,56.11,56.23,54.97,55.01,2845300.0,0.0,1.0,52.31206531918,52.423942842586,51.249228846825,51.286521354627,2845300.0
2013-07-02,55.04,55.32,54.66,54.83,2008500.0,0.0,1.0,51.314490735478,51.575538290092,50.96021191136,51.118705069518,2008500.0
2013-07-03,54.5,55.235,54.4,55.09,1157000.0,0.0,1.0,50.811041880152,51.496291711013,50.717810610647,51.361106370231,1157000.0
2013-07-05,55.51,55.66,54.9,55.56,1629300.0,0.0,1.0,51.752677702151004,51.892524606408,51.183966958171,51.799293336903,1629300.0
2013-07-08,55.83,56.3,55.59,56.28,1481200.0,0.0,1.0,52.051017764567,52.489204731239006,51.827262717755005,52.470558477338,1481200.0
2013-07-09,56.47,56.84,55.81,55.91,2101000.0,0.0,1.0,52.647697889398,52.992653586566,52.032371510665996,52.12560278017,2101000.0
2013-07-10,55.95,56.6,55.91,56.55,1551500.0,0.0,1.0,52.162895287972,52.768898539754,52.12560278017,52.722282905002004,1551500.0
2013-07-11,57.08,58.15,57.08,58.1,2337200.0,0.0,1.0,53.216408633377,54.213983217079,53.216408633377,54.167367582327,2337200.0
2013-07-12,58.02,58.42,57.68,58.39,1359100.0,0.0,1.0,54.092782566723,54.465707644743006,53.775796250407,54.437738263891,1359100.0
2013-07-15,58.57,58.82,58.07,58.24,1693300.0,0.0,1.0,54.605554549,54.838632722762,54.139398201476,54.297891359634,1693300.0
2013-07-16,58.33,58.61,58.14,58.28,2045900.0,0.0,1.0,54.381799502187995,54.642847056802,54.204660090129,54.335183867436,2045900.0
2013-07-17,58.38,58.68,58.17,58.47,1137300.0,0.0,1.0,54.428415136941005,54.708108945454995,54.232629470979994,54.512323279495,1137300.0
2013-07-18,58.58,58.95,58.04,58.31,2058500.0,0.0,1.0,54.614877675950005,54.959833373118,54.111428820624,54.363153248287,2058500.0
2013-07-19,58.25,58.905,58.13,58.81,1552000.0,0.0,1.0,54.307214486583995,54.917879301841005,54.19533696317799,54.829309595812,1552000.0
2013-07-22,58.74,59.1,58.6,58.99,1237800.0,0.0,1.0,54.764047707158,55.099680277376,54.633523929850995,54.99712588091999,1237800.0
2013-07-23,58.97,59.0,57.595,57.63,4014200.0,0.0,1.0,54.978479627019,55.006449007871,53.696549671327,53.729180615654,4014200.0
2013-07-24,58.32,59.3,56.575,56.77,3089500.0,0.0,1.0,54.372476375238,55.286142816385,52.745590722378,52.927391697912,3089500.0
2013-07-25,56.2,57.69,55.8,57.61,2869300.0,0.0,1.0,52.395973461735004,53.785119377357,52.023048383715,53.710534361753,2869300.0
2013-07-26,57.41,58.58,57.28,58.47,1714300.0,0.0,1.0,53.524071822743,54.614877675950005,53.402871172387,54.512323279495,1714300.0
2013-07-29,58.37,58.78,58.17,58.39,1440900.0,0.0,1.0,54.41909200999,54.80134021495999,54.232629470979994,54.437738263891,1440900.0
2013-07-30,58.84,58.89,58.09,58.23,2487500.0,0.0,1.0,54.857278976663,54.903894611415005,54.15804445537599,54.288568232683,2487500.0
2013-07-31,58.54,58.97,58.0,58.27,1848600.0,0.0,1.0,54.577585168148005,54.978479627019,54.074136312822,54.325860740485,1848600.0
2013-08-01,58.39,59.115,58.37,58.8,1746200.0,0.0,1.0,54.437738263891,55.113664967801,54.41909200999,54.819986468860996,1746200.0
2013-08-02,58.75,58.8,58.25,58.48,1560100.0,0.0,1.0,54.773370834109,54.819986468860996,54.307214486583995,54.521646406445,1560100.0
2013-08-05,58.38,59.095,58.29,59.03,1129300.0,0.0,1.0,54.428415136941005,55.095018713900004,54.344506994385995,55.034418388722,1129300.0
2013-08-06,59.03,59.03,58.36,58.66,1060800.0,0.0,1.0,55.034418388722,55.034418388722,54.40976888304,54.689462691554006,1060800.0
2013-08-07,58.31,59.17,58.21,58.74,1414300.0,0.0,1.0,54.363153248287,55.16494216602899,54.269921978781994,54.764047707158,1414300.0
2013-08-08,59.36,59.67,58.89,59.61,1578900.0,0.0,1.0,55.342081578088,55.631098513553,54.903894611415005,55.57515975185,1578900.0
2013-08-09,59.46,59.75,59.24,59.49,1223200.0,0.0,1.0,55.435312847593,55.705683529157,55.230204054682,55.463282228444996,1223200.0
2013-08-12,58.9,59.24,58.45,58.67,1544100.0,0.0,1.0,54.913217738366,55.230204054682,54.493677025593996,54.698785818505,1544100.0
2013-08-13,58.7,58.97,57.98,58.14,2300100.0,0.0,1.0,54.726755199356006,54.978479627019,54.055490058921,54.204660090129,2300100.0
2013-08-14,58.14,58.59,58.0,58.03,1784600.0,0.0,1.0,54.204660090129,54.624200802901,54.074136312822,54.102105693674005,1784600.0
