Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2013-01-02,10.89,11.03,10.81,11.0,5166900.0,0.0,1.0,9.4488760965176,9.5703492511101,9.379462865321901,9.5443192894117,5166900.0
2013-01-03,10.95,11.05,10.88,10.94,8415000.0,0.0,1.0,9.5009360199144,9.587702558909099,9.4401994426182,9.492259366015,8415000.0
2013-01-04,10.99,11.25,10.93,11.2,6218700.0,0.0,1.0,9.5356426355123,9.7612356368984,9.4835827121155,9.717852367401099,6218700.0
2013-01-07,11.33,11.33,10.81,10.85,6791100.0,0.0,1.0,9.8306488680941,9.8306488680941,9.379462865321901,9.414169480919801,6791100.0
2013-01-08,10.81,10.93,10.69,10.85,3683000.0,0.0,1.0,9.379462865321901,9.4835827121155,9.2753430185283,9.414169480919801,3683000.0
2013-01-09,10.84,10.95,10.785,10.9,3836900.0,0.0,1.0,9.4054928270203,9.5009360199144,9.3577712305732,9.4575527504171,3836900.0
2013-01-10,10.95,11.11,10.88,11.09,3716300.0,0.0,1.0,9.5009360199144,9.6397624823059,9.4401994426182,9.6224091745069,3716300.0
2013-01-11,11.08,11.16,11.0,11.11,3671800.0,0.0,1.0,9.6137325206075,9.683145751803199,9.5443192894117,9.6397624823059,3671800.0
2013-01-14,11.1,11.18,10.99,11.03,4126900.0,0.0,1.0,9.6310858284064,9.7004990596021,9.5356426355123,9.5703492511101,4126900.0
2013-01-15,11.0,11.04,10.8,11.0,2746700.0,0.0,1.0,9.5443192894117,9.5790259050096,9.3707862114224,9.5443192894117,2746700.0
2013-01-16,10.94,11.02,10.89,10.95,3127200.0,0.0,1.0,9.492259366015,9.5616725972107,9.4488760965176,9.5009360199144,3127200.0
2013-01-17,11.0,11.14,10.9891,11.07,2677900.0,0.0,1.0,9.5443192894117,9.665792444004301,9.5348617366613,9.605055866708,2677900.0
2013-01-18,11.1,11.14,11.0,11.14,2706700.0,0.0,1.0,9.6310858284064,9.665792444004301,9.5443192894117,9.665792444004301,2706700.0
2013-01-22,11.1,11.36,11.09,11.31,3983300.0,0.0,1.0,9.6310858284064,9.8566788297925,9.6224091745069,9.813295560295199,3983300.0
2013-01-23,11.28,11.31,11.1,11.21,4565400.0,0.0,1.0,9.7872655985968,9.813295560295199,9.6310858284064,9.7265290213005,4565400.0
2013-01-24,11.22,11.3,11.04,11.09,7951700.0,0.0,1.0,9.7352056752,9.8046189063957,9.5790259050096,9.6224091745069,7951700.0
2013-01-25,11.1,11.18,10.995,11.09,5543800.0,0.0,1.0,9.6310858284064,9.7004990596021,9.539980962462,9.6224091745069,5543800.0
2013-01-28,11.06,11.08,10.84,10.85,9922600.0,0.0,1.0,9.5963792128085,9.6137325206075,9.4054928270203,9.414169480919801,9922600.0
2013-01-29,10.85,10.86,10.67,10.7,20323400.0,0.0,1.0,9.414169480919801,9.4228461348192,9.2579897107294,9.284019672427801,20323400.0
2013-01-30,10.69,10.95,10.66,10.88,18373200.0,0.04,1.0,9.3094435443317,9.5358659317523,9.283317884244699,9.474906058216,18373200.0
2013-01-31,10.89,10.95,10.78,10.84,7138500.0,0.0,1.0,9.4836146115784,9.5358659317523,9.3878205245927,9.440071844766699,7138500.0
2013-02-01,10.93,11.13,10.86,11.05,6578600.0,0.0,1.0,9.518448825027699,9.692619892274301,9.4574889514914,9.6229514653757,6578600.0
2013-02-04,11.09,11.11,10.9,10.92,4402400.0,0.0,1.0,9.657785678825,9.675202785549601,9.4923231649407,9.5097402716653,4402400.0
