Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2013-01-02,47.05,47.05,45.78,46.25,3920000.0,0.0,1.0,44.436996918322,44.436996918322,43.237528563672,43.68142630122,3920000.0
2013-01-03,46.15,46.23,45.2,45.27,5054200.0,0.0,1.0,43.586979974082006,43.662537035792,42.689739866273,42.755852295269996,5054200.0
2013-01-04,45.41,45.59,44.96,45.48,4106000.0,0.0,1.0,42.888077153262,43.05808054211,42.463068681143,42.954189582259,4106000.0
2013-01-07,45.34,46.18,45.2,46.16,2437900.0,0.0,1.0,42.821964724266,43.615313872223,42.689739866273,43.596424606796,2437900.0
2013-01-08,45.96,46.29,44.38,44.38,4503700.0,0.2,1.0,43.603149491738,43.91622693587,42.104172638019,42.104172638019,4503700.0
2013-01-09,44.54,45.41,44.54,44.98,2339200.0,0.0,1.0,42.255967762446,43.081353751520005,42.255967762446,42.673404354621,2339200.0
2013-01-10,45.09,45.76,44.895,45.76,2016000.0,0.0,1.0,42.777763502665,43.41340558620401,42.592763194769,43.41340558620401,2016000.0
2013-01-11,45.8,45.85,45.28,45.53,1842400.0,0.0,1.0,43.451354367311,43.498790343695,42.958020212922,43.195200094840004,1842400.0
2013-01-14,45.64,45.86,45.12,45.78,2068400.0,0.0,1.0,43.299559242883994,43.50827753897101,42.806225088495005,43.432379976758,2068400.0
2013-01-15,45.45,46.09,45.285,46.05,2211600.0,0.0,1.0,43.119302532626,43.726483030336,42.962763810561,43.688534249229,2211600.0
2013-01-16,46.01,46.04,45.43,45.7,2057700.0,0.0,1.0,43.650585468121996,43.679047053952,43.100328142073,43.356482414544,2057700.0
2013-01-17,45.97,47.2,45.79,47.19,3455900.0,0.0,1.0,43.612636687015,44.779561706049996,43.441867172033994,44.770074510773,3455900.0
2013-01-18,47.09,47.14,46.72,46.93,3113400.0,0.0,1.0,44.675202558006,44.72263853439,44.324176332768005,44.523407433578996,3113400.0
2013-01-22,46.98,48.45,46.92,48.34,3753700.0,0.0,1.0,44.570843409961995,45.965461115638,44.513920238302,45.861101967594,3753700.0
2013-01-23,48.22,48.645,47.82,48.61,2548300.0,0.0,1.0,45.747255624274,46.150461423534004,45.367767813205994,46.117256240065004,2548300.0
2013-01-24,48.65,49.85,48.58,49.72,3779100.0,0.0,1.0,46.155205021172,47.293668454377006,46.088794654235,47.17033491578,3779100.0
2013-01-25,49.7,49.805,49.22,49.76,3860200.0,0.0,1.0,47.151360525226,47.250976075632,46.695975151944,47.208283696886994,3860200.0
2013-01-28,49.94,50.36,49.37,49.37,3416000.0,0.0,1.0,47.379053211866996,47.777515413489,46.838283081095,46.838283081095,3416000.0
2013-01-29,49.39,49.87,49.275,49.71,3088900.0,0.0,1.0,46.857257471648,47.312642844930004,46.748154725965996,47.160847720503,3088900.0
2013-01-30,49.65,49.71,48.89,48.95,4080400.0,0.0,1.0,47.103924548843004,47.160847720503,46.382897707812994,46.439820879473,4080400.0
2013-01-31,47.44,48.75,46.53,48.23,5790700.0,0.0,1.0,45.007254392691,46.250076973939,44.14391962251099,45.756742819551,5790700.0
2013-02-01,48.74,48.74,47.87,48.48,3071600.0,0.0,1.0,46.240589778662994,46.240589778662994,45.41520378958901,45.993922701468,3071600.0
2013-02-04,48.22,48.95,48.1,48.55,2576900.0,0.0,1.0,45.747255624274,46.439820879473,45.633409280952996,46.060333068405,2576900.0
2013-02-05,48.72,49.67,48.65,49.55,2526000.0,0.0,1.0,46.221615388109,47.122898939396,46.155205021172,47.009052596076,2526000.0
2013-02-06,49.28,49.86,49.13,49.65,2775300.0,0.0,1.0,46.752898323605,47.303155649653995,46.610590394454,47.103924548843004,2775300.0
2013-02-07,49.64,49.77,49.01,49.66,2128200.0,0.0,1.0,47.094437353566,47.217770892163,46.496744051134,47.113411744119,2128200.0
2013-02-08,49.83,50.95,49.495,50.6,3843900.0,0.0,1.0,47.274694063823006,48.33725993481399,46.956873022054005,48.00520810013,3843900.0
2013-02-11,50.52,50.65,49.93,50.38,4020700.0,0.0,1.0,47.929310537916,48.052644076513005,47.369566016590994,47.796489804042,4020700.0
2013-02-12,50.96,51.1,49.99,50.15,3122400.0,0.0,1.0,48.346747130090996,48.479567863964995,47.426489188251,47.578284312678,3122400.0
2013-02-13,50.26,50.42,49.4,49.51,3603600.0,0.0,1.0,47.682643460722,47.834438585149,46.866744666925,46.971103814969,3603600.0
2013-02-14,49.33,49.98,48.99,49.56,2194900.0,0.0,1.0,46.800334299988,47.41700199297401,46.477769660579995,47.018539791352,2194900.0
2013-02-15,49.57,49.84,49.14,49.2,2746700.0,0.0,1.0,47.028026986629,47.284181259099995,46.620077589731,46.677000761391,2746700.0
2013-02-19,47.57,48.86,46.9,48.71,6719200.0,0.0,1.0,45.130587931288005,46.35443612198301,44.494945847749,46.212128192832004,6719200.0
2013-02-20,48.75,48.82,48.045,48.24,3187100.0,0.0,1.0,46.250076973939,46.316487340875995,45.581229706932,45.766230014827,3187100.0
2013-02-21,48.26,48.59,47.36,47.76,3346100.0,0.0,1.0,45.785204405381,46.098281849512,44.931356830477,45.310844641545,3346100.0
2013-02-22,47.87,48.11,47.37,47.58,2698400.0,0.0,1.0,45.41520378958901,45.64289647623,44.940844025754004,45.140075126565,2698400.0
2013-02-25,47.74,48.14,46.65,46.7,4788700.0,0.0,1.0,45.291870250992005,45.671358062059994,44.257765965831005,44.30520194221501,4788700.0
2013-02-26,46.83,46.94,46.045,46.56,3791200.0,0.0,1.0,44.428535480811995,44.532894628856,43.68379065159,44.172381208341,3791200.0
2013-02-27,46.54,47.73,46.46,47.53,3040700.0,0.0,1.0,44.153406817787,45.282383055715,44.077509255574,45.092639150181,3040700.0
2013-02-28,47.52,47.59,46.91,47.19,3415100.0,0.0,1.0,45.083151954905006,45.149562321841,44.504433043024996,44.770074510773,3415100.0
2013-03-01,47.02,47.59,46.53,47.5,2388200.0,0.0,1.0,44.608792191069,45.149562321841,44.14391962251099,45.064177564351,2388200.0
2013-03-04,47.24,47.62,46.86,47.14,3312300.0,0.0,1.0,44.817510487157,45.17802390767201,44.456997066641996,44.72263853439,3312300.0
2013-03-05,47.24,47.95,47.22,47.85,1998900.0,0.0,1.0,44.817510487157,45.491101351802996,44.798536096603,45.396229399035995,1998900.0
2013-03-06,48.15,49.04,48.11,49.03,3865200.0,0.0,1.0,45.680845257337,46.525205636963996,45.64289647623,46.515718441687,3865200.0
2013-03-07,48.89,49.71,48.89,49.59,3162800.0,0.0,1.0,46.382897707812994,47.160847720503,46.382897707812994,47.047001377183,3162800.0
2013-03-08,49.71,50.69,49.66,50.52,3382600.0,0.0,1.0,47.160847720503,48.09059285762,47.113411744119,47.929310537916,3382600.0
2013-03-11,50.29,50.41,49.48,49.9,4163000.0,0.0,1.0,47.711105046552,47.824951389872,46.942642229139004,47.341104430760005,4163000.0
2013-03-12,49.81,51.24,49.6,51.24,3873800.0,0.0,1.0,47.255719673269994,48.612388597839,47.056488572459,48.612388597839,3873800.0
2013-03-13,51.18,51.46,50.79,51.46,2661600.0,0.0,1.0,48.555465426179,48.821106893926,48.185464810387,48.821106893926,2661600.0
2013-03-14,51.6,51.73,50.91,51.23,2723000.0,0.0,1.0,48.9539276278,49.077261166398,48.299311153708,48.602901402562,2723000.0
2013-03-15,51.01,51.28,50.82,50.87,4399100.0,0.0,1.0,48.394183106475,48.650337378946,48.213926396217005,48.261362372601006,4399100.0
2013-03-18,50.52,50.97,50.24,50.57,3063800.0,0.0,1.0,47.929310537916,48.35623432536801,47.663669070168,47.976746514300004,3063800.0
2013-03-19,50.75,50.91,50.38,50.52,2877900.0,0.0,1.0,48.14751602928,48.299311153708,47.796489804042,47.929310537916,2877900.0
2013-03-20,50.77,50.83,49.98,50.03,2581300.0,0.0,1.0,48.166490419834005,48.223413591493994,47.41700199297401,47.464437969357995,2581300.0
2013-03-21,49.77,50.39,49.68,50.24,3526100.0,0.0,1.0,47.217770892163,47.805976999319,47.132386134673006,47.663669070168,3526100.0
2013-03-22,50.39,50.47,49.78,49.91,2082600.0,0.0,1.0,47.805976999319,47.881874561533,47.227258087440006,47.350591626036994,2082600.0
2013-03-25,50.04,50.56,49.9,50.05,2826400.0,0.0,1.0,47.473925164634,47.967259319023,47.341104430760005,47.483412359911,2826400.0
2013-03-26,50.29,51.155,50.16,50.6,2540500.0,0.0,1.0,47.711105046552,48.531747437987,47.587771507955,48.00520810013,2540500.0
2013-03-27,50.45,50.92,50.39,50.87,1884100.0,0.0,1.0,47.862900170979,48.308798348984006,47.805976999319,48.261362372601006,1884100.0
2013-03-28,50.89,51.19,50.48,51.13,2108000.0,0.0,1.0,48.280336763154004,48.564952621455,47.891361756809,48.508029449794996,2108000.0
2013-04-01,51.03,54.05,50.4,52.38,5603600.0,0.0,1.0,48.413157497027996,51.27829047059301,47.815464194596004,49.693928859383,5603600.0
2013-04-02,55.02,55.37,54.06,54.3,9969100.0,0.0,1.0,52.19854841243399,52.530600247117995,51.287777665869996,51.515470352510995,9969100.0
2013-04-03,54.34,55.62,53.93,54.43,5519900.0,0.0,1.0,51.553419133618,52.767780129036,51.16444412727299,51.638803891108,5519900.0
2013-04-04,54.45,55.081,54.25,54.6,3142500.0,0.0,1.0,51.657778281660995,52.256420303622,51.46803437612701,51.800086210812,3142500.0
2013-04-05,54.27,54.47,53.63,54.0,2291400.0,0.0,1.0,51.487008766681,51.676752672215,50.879828268972,51.23085449420999,2291400.0
2013-04-08,53.96,54.59,53.36,54.49,2294600.0,0.0,1.0,51.192905713103,51.790599015535,50.623673996501,51.695727062768,2294600.0
2013-04-09,54.51,55.89,54.37,55.53,3797800.0,0.2,1.0,51.900960057511995,53.214908413398,51.767660948943,52.87213927708,3797800.0
2013-04-10,55.76,56.47,55.56,56.09,2519500.0,0.0,1.0,53.091130669727,53.767147577466,52.900703371773005,53.405335711351995,2519500.0
2013-04-11,56.14,56.72,55.82,56.7,2561700.0,0.0,1.0,53.452942535841,54.005181699909,53.148258859114,53.986138970114006,2561700.0
2013-04-12,56.6,56.925,56.46,56.78,2955300.0,0.0,1.0,53.890925321137,54.200369680312996,53.757626212568,54.062309889295996,2955300.0
2013-04-15,56.54,56.76,55.23,55.26,2357100.0,0.0,1.0,53.83379713175,54.0432671595,52.586498330148004,52.61506242484101,2357100.0
2013-04-16,55.89,56.69,55.14,56.64,3676000.0,0.0,1.0,53.214908413398,53.976617605216,52.500806046068,53.929010780727,3676000.0
2013-04-17,56.33,56.35,54.61,55.29,3591900.0,0.0,1.0,53.633848468898,53.652891198693,51.996173706489,52.643626519533996,3591900.0
2013-04-18,54.01,55.1799,53.51,54.18,4556000.0,0.0,1.0,51.424891812625,52.538796292010005,50.948823567739,51.586755015887,4556000.0
2013-04-19,54.58,55.96,54.5,55.87,2930600.0,0.0,1.0,51.967609611796,53.281557967682,51.891438692614,53.195865683602,2930600.0
2013-04-22,55.88,55.88,54.88,55.02,1933000.0,0.0,1.0,53.2053870485,53.2053870485,52.253250558727,52.386549667296,1933000.0
2013-04-23,55.3,55.81100000000001,54.82,55.55,2097900.0,0.0,1.0,52.653147884432,53.139689630705995,52.196122369341005,52.891182006875,2097900.0
2013-04-24,57.19,57.36,56.4,56.99,3488100.0,0.0,1.0,54.45268585010199,54.614549053364,53.700498023182,54.262258552148,3488100.0
2013-04-25,57.22,57.39,56.24,56.88,3731300.0,0.0,1.0,54.481249944796,54.643113148057004,53.548156184818,54.157523538273004,3731300.0
2013-04-26,56.83,57.41,56.65,57.01,2118800.0,0.0,1.0,54.109916713783996,54.662155877852,53.938532145625,54.281301281942994,2118800.0
2013-04-29,57.35,57.54,56.05,56.16,3753100.0,0.0,1.0,54.605027688465995,54.785933621523,53.367250251762,53.471985265636995,3753100.0
2013-04-30,57.1,58.64,56.57,57.44,5665200.0,0.0,1.0,54.366993566023,55.833283760273,53.86236122644301,54.690719972546,5665200.0
2013-05-01,57.53,59.38,57.45,58.25,3910000.0,0.0,1.0,54.776412256625,56.537864762705,54.700241337442996,55.461950529262,3910000.0
2013-05-02,58.48,59.1799,58.13,58.35,2824900.0,0.0,1.0,55.680941921908996,56.347342251101,55.347694150489,55.557164178239,2824900.0
2013-05-03,58.54,59.09,58.29,59.0,2401800.0,0.0,1.0,55.738070111296,56.26174518067099,55.500035988852,56.176052896590996,2401800.0
2013-05-06,58.92,59.47,58.52,58.69,2972700.0,0.0,1.0,56.099881977409,56.623557046784,55.7190273815,55.880890584762,2972700.0
2013-05-07,58.85,59.08,58.3,59.07,3905200.0,0.0,1.0,56.033232423125,56.252223815773,55.50955735375,56.242702450874994,3905200.0
2013-05-08,59.16,59.5,58.81,59.35,3359400.0,0.0,1.0,56.328394734955,56.652121141477004,55.995146963534005,56.509300668011996,3359400.0
2013-05-09,59.14,59.505,58.54,59.49,2331500.0,0.0,1.0,56.309352005159,56.656881823926,55.738070111296,56.642599776580006,2331500.0
2013-05-10,59.43,59.71,58.88,59.1,3443200.0,0.0,1.0,56.585471587193005,56.85206980433001,56.061796517818,56.271266545568,3443200.0
2013-05-13,59.11,59.58,59.0,59.25,3436500.0,0.0,1.0,56.280787910466,56.728292060659,56.176052896590996,56.41408701903401,3436500.0
2013-05-14,59.13,59.68,59.13,59.39,2963500.0,0.0,1.0,56.299830640262,56.823505709637004,56.299830640262,56.547386127601996,2963500.0
2013-05-15,59.42,60.26,59.11,59.83,3232800.0,0.0,1.0,56.575950222296,57.375744873704996,56.280787910466,56.966326183102,3232800.0
2013-05-16,59.62,60.0291,59.515,59.53,2296300.0,0.0,1.0,56.766377520249996,57.155896558216,56.666403188824,56.680685236170994,2296300.0
2013-05-17,59.56,60.15,59.51,60.04,2612100.0,0.0,1.0,56.709249330864,57.27100985983001,56.661642506374996,57.166274845955,2612100.0
2013-05-20,59.85,59.928000000000004,58.97,59.14,2109800.0,0.0,1.0,56.985368912898,57.0596355591,56.147488801898,56.309352005159,2109800.0
2013-05-21,59.35,60.5499,59.26,60.27,2506300.0,0.0,1.0,56.509300668011996,57.651769242090005,56.423608383932,57.385266238602,2506300.0
2013-05-22,60.25,61.19,59.3132,59.53,2332300.0,0.0,1.0,57.366223508807,58.261231809193,56.474262045188,56.680685236170994,2332300.0
2013-05-23,59.1,60.555,59.03,60.39,2139200.0,0.0,1.0,56.271266545568,57.656625138188,56.204616991284,57.499522617375,2139200.0
2013-05-24,60.08,60.1899,58.8801,59.31,2374800.0,0.0,1.0,57.204360305546,57.309000105772,56.061891731467,56.471215208421,2374800.0
2013-05-28,59.81,61.21,59.81,60.89,2754100.0,0.0,1.0,56.947283453307,58.280274538989,56.947283453307,57.975590862262,2754100.0
2013-05-29,60.64,60.95,60.215,60.29,2175200.0,0.0,1.0,57.737556739818004,58.032719051647994,57.332898731665004,57.404308968398,2175200.0
2013-05-30,60.46,62.76,60.3,62.45,3850300.0,0.0,1.0,57.566172171659005,59.756086098137,57.413830333296005,59.460923786307,3850300.0
2013-05-31,62.23,62.23,60.34,60.38,4054800.0,0.0,1.0,59.251453758557,59.251453758557,57.451915792887,57.490001252477,4054800.0
2013-06-03,60.46,60.66,59.26,59.68,3137900.0,0.0,1.0,57.566172171659005,57.756599469614,56.423608383932,56.823505709637004,3137900.0
2013-06-04,59.63,60.33,58.9,59.36,2818200.0,0.0,1.0,56.775898885148,57.442394427988994,56.080839247614,56.518822032909,2818200.0
2013-06-05,59.21,59.43,57.72,58.22,2830600.0,0.0,1.0,56.376001559443,56.585471587193005,54.957318189682,55.43338643456801,2830600.0
2013-06-06,58.42,59.37,57.96,59.37,3287300.0,0.0,1.0,55.623813732523004,56.528343397807,55.185830947227004,56.528343397807,3287300.0
2013-06-07,59.54,60.29,59.43,60.27,2418500.0,0.0,1.0,56.690206601068,57.404308968398,56.585471587193005,57.385266238602,2418500.0
2013-06-10,60.28,61.1088,60.21,60.97,2197500.0,0.0,1.0,57.394787603500006,58.183918326224,57.328138049216,58.051761781443005,2197500.0
2013-06-11,60.36,62.0578,60.17,61.78,3767700.0,0.0,1.0,57.470958522682,59.087495855018,57.290052589625,58.822992338159,3767700.0
2013-06-12,62.0,62.24,61.36,61.37,3081600.0,0.0,1.0,59.032462365909005,59.260975123455,58.42309501245499,58.432616377352,3081600.0
2013-06-13,61.3,61.89,60.75,61.59,2630100.0,0.0,1.0,58.365966823068,58.927727352034,57.842291753693,58.642086405102,2630100.0
2013-06-14,61.51,61.92,60.35,60.53,3076900.0,0.0,1.0,58.565915485921,58.956291446727,57.461437157784005,57.632821725943,3076900.0
2013-06-17,61.03,61.975,60.86,61.49,2592600.0,0.0,1.0,58.10888997083,59.008658953665,57.947026767568,58.546872756125005,2592600.0
2013-06-18,61.48,62.74,61.32,62.65,2941800.0,0.0,1.0,58.537351391227,59.737043368341,58.385009552864,59.651351084262,2941800.0
2013-06-19,62.71,62.9,61.82,61.82,2935300.0,0.0,1.0,59.708479273648,59.889385206705,58.86107779775,58.86107779775,2935300.0
2013-06-20,61.54,61.91,60.68,60.82,2721100.0,0.0,1.0,58.594479580614006,58.94677008183,57.775642199409,57.908941307977,2721100.0
2013-06-21,61.3,62.25,61.1,61.79,4112700.0,0.0,1.0,58.365966823068,59.270496488352,58.175539525114004,58.832513703057,4112700.0
2013-06-24,61.5,62.79,61.35,62.16,5216700.0,0.0,1.0,58.556394121023,59.78465019283001,58.413573647557,59.18480420427301,5216700.0
2013-06-25,62.59,62.895,61.85,62.16,2829600.0,0.0,1.0,59.594222894875,59.884624524256,58.889641892443,59.18480420427301,2829600.0
2013-06-26,62.75,63.47,62.03,62.96,3157000.0,0.0,1.0,59.746564733239005,60.432103005875,59.061026460601994,59.94651339609101,3157000.0
2013-06-27,63.21,63.82,63.081,63.59,2518200.0,0.0,1.0,60.184547518534,60.765350777296,60.061721911354,60.546359384648,2518200.0
2013-06-28,63.65,64.13,63.3,63.54,2761600.0,0.0,1.0,60.603487574034006,61.060513089125,60.270239802614,60.498752560159,2761600.0
2013-07-01,64.18,64.22,63.29,63.35,2285500.0,0.0,1.0,61.108119913614,61.14620537320501,60.260718437716,60.317846627102,2285500.0
2013-07-02,63.3,63.33,62.155,62.43,3649300.0,0.0,1.0,60.270239802614,60.298803897306996,59.180043521824,59.441881056512,3649300.0
2013-07-03,62.11,62.51,61.585,62.13,1826300.0,0.0,1.0,59.137197379784006,59.518051975693,58.637325722654,59.156240109580004,1826300.0
2013-07-05,62.61,62.89,61.95,62.58,1650800.0,0.0,1.0,59.613265624671,59.879863841807,58.984855541421005,59.584701529976996,1650800.0
2013-07-08,63.0,63.5,62.82,63.26,2403400.0,0.0,1.0,59.984598855682,60.460667100567996,59.813214287523,60.232154343023005,2403400.0
2013-07-09,63.55,63.93,63.23,63.29,2141200.0,0.2,1.0,60.699483512433005,61.062438724624,60.393837017956,60.451145735671,2141200.0
2013-07-10,63.44,64.39,63.34,64.05,2867300.0,0.0,1.0,60.594417529956,61.501805560433,60.498903000432996,61.177056160052004,2867300.0
2013-07-11,64.79,65.1725,63.98,64.04,3583300.0,0.0,1.0,61.883863678528996,62.249206753958,61.110195989385005,61.1675047071,3583300.0
2013-07-12,64.23,64.54,62.95,63.5,2990700.0,0.0,1.0,61.348982313195,61.645077354719,60.126396335289,60.651726247671,2990700.0
2013-07-15,63.46,63.67,63.2124,63.52,2085200.0,0.0,1.0,60.613520435861,60.81410094786101,60.37702646076,60.670829153576,2085200.0
2013-07-16,63.51,63.65,62.12,62.52,3333600.0,0.0,1.0,60.661277700622996,60.794998041956994,59.333625740241004,59.715683858337,3333600.0
2013-07-17,62.77,62.9,61.52,61.54,3371100.0,0.0,1.0,59.954470182146,60.078639070527004,58.760538563098,58.779641469003,3371100.0
2013-07-18,62.26,64.34,62.26,64.23,4667300.0,0.0,1.0,59.467346081575,61.454048295671996,59.467346081575,61.348982313195,4667300.0
2013-07-19,63.96,64.7,63.43,64.49,2750100.0,0.0,1.0,61.091093083481,61.797900601958,60.584866077004,61.597320089957,2750100.0
2013-07-22,64.49,65.61,64.32,65.04,2686800.0,0.0,1.0,61.597320089957,62.667082820625,61.434945389767,62.122650002339,2686800.0
2013-07-23,65.51,65.59899999999999,65.15,65.35,1919800.0,0.0,1.0,62.571568291100995,62.656576222377005,62.227715984815,62.418745043863,1919800.0
2013-07-24,65.76,66.0,64.74,65.61,2995700.0,0.0,1.0,62.810354614911006,63.039589485768005,61.836106413767006,62.667082820625,2995700.0
2013-07-25,65.27,65.86,64.605,65.58,2161500.0,0.0,1.0,62.342333420243996,62.905869144434995,61.70716179891,62.638428461768,2161500.0
2013-07-26,65.4,65.54,64.26,64.7,2386600.0,0.0,1.0,62.466502308625,62.600222649958,61.377636672052,61.797900601958,2386600.0
