Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2013-01-02,133.55,134.85,132.98,134.85,256500.0,0.0,1.0,133.23002197278998,134.52690724845,132.66138765962,134.52690724845,256500.0
2013-01-03,134.66,134.91,133.41,133.91,247100.0,0.0,1.0,134.33736247738997,134.58676349194,133.09035740463997,133.58915943373998,247100.0
2013-01-04,134.13,137.24,133.683,137.1,257100.0,0.0,1.0,133.80863232655,136.91118094754998,133.36270331253002,136.7715163794,257100.0
2013-01-07,137.31,137.79,135.29,137.3,350400.0,0.0,1.0,136.98101323163,137.45986317956002,134.96585303406,136.97103719105,350400.0
2013-01-08,136.72,137.385,135.86,137.15,243300.0,0.0,1.0,136.39242683728997,137.05583353599,135.53448734724,136.82139658231,243300.0
2013-01-09,137.98,138.8599,137.58,138.15,487000.0,0.0,1.0,137.64940795062,138.52719976142998,137.25036632734,137.81900064052,487000.0
2013-01-10,139.0,139.37,137.7,138.75,453500.0,0.0,1.0,138.66696408999,139.03607759152,137.37007881433001,138.41756307544,453500.0
2013-01-11,138.72,139.8,137.93,139.65,381400.0,0.0,1.0,138.38763495369,139.46504733655001,137.59952774771003,139.31540672782,381400.0
2013-01-14,139.44,139.88,138.48,139.81,248900.0,0.0,1.0,139.1059098756,139.54485566120002,138.14820997972,139.47502337713001,248900.0
2013-01-15,139.16,140.8,138.71,140.67,308200.0,0.0,1.0,138.8265807393,140.46265139475,138.37765891311,140.33296286718002,308200.0
2013-01-16,139.8,140.21,139.37,140.04,204500.0,0.0,1.0,139.46504733655001,139.87406500041,139.03607759152,139.70447231052,204500.0
2013-01-17,140.03,141.75,139.96,141.15,278500.0,0.0,1.0,139.69449626993,141.41037525004,139.62466398586,140.81181281512,278500.0
2013-01-18,141.14,142.6,140.612,142.42,311200.0,0.0,1.0,140.80183677454,142.25833869951,140.27510183181002,142.07876996904,311200.0
2013-01-22,142.31,143.11,141.835,143.1,344000.0,0.0,1.0,141.96903352263,142.76711676918998,141.49517159498998,142.75714072861,344000.0
2013-01-23,142.6,143.41,142.12,143.18,282500.0,0.0,1.0,142.25833869951,143.06639798666,141.77948875158,142.83694905327,282500.0
2013-01-24,142.69,145.89,138.32,144.48,411600.0,0.0,1.0,142.34812306475,145.54045605099,137.98859333041,144.13383432893,411600.0
2013-01-25,144.65,145.665,143.54,144.93,381500.0,0.0,1.0,144.30342701883,145.31599513790002,143.19608651421999,144.58275615512,381500.0
2013-01-28,145.67,145.67,143.01,145.07,500400.0,0.0,1.0,145.32098315819,145.32098315819,142.66735636337,144.72242072327,500400.0
2013-01-29,144.06,146.51,138.66,146.5,436000.0,0.0,1.0,143.71484062449,146.15897056708,138.3277787102,146.1489945265,436000.0
2013-01-30,145.71,147.09,143.08,144.6,476100.0,0.0,1.0,145.36088732052,146.73758092084,142.73718864745,144.25354681591003,476100.0
2013-01-31,144.2,144.41,143.0325,143.93,522500.0,0.0,1.0,143.85450519263,144.06400204486,142.68980245468,143.58515209691998,522500.0
2013-02-01,145.33,145.33,143.955,144.61,447900.0,0.0,1.0,144.9817977784,144.9817977784,143.61009219838002,144.2635228565,447900.0
2013-02-04,143.52,143.64,142.17,143.07,374900.0,0.0,1.0,143.17613443306,143.29584692004,141.82936895449,142.72721260687,374900.0
2013-02-05,143.74,145.0,143.37,144.94,337700.0,0.0,1.0,143.39560732586,144.6525884392,143.02649382433,144.5927321957,337700.0
2013-02-06,143.65,145.64,143.59,145.64,412000.0,0.0,1.0,143.30582296062,145.29105503643999,143.24596671713002,145.29105503643999,412000.0
2013-02-07,145.5,146.28,143.0,146.25,452700.0,0.0,1.0,145.1513904683,145.92952163369,142.65738032279,145.89959351195,452700.0
2013-02-08,146.84,147.165,145.73,146.45,292200.0,0.0,1.0,146.48817990629,146.8124012252,145.38083940168002,146.09911432359,292200.0
2013-02-11,146.42,146.66,145.3,145.57,282500.0,0.0,1.0,146.06918620183998,146.30861117581,144.95186965666,145.22122275236998,282500.0
2013-02-12,145.89,146.42,145.43,145.75,387000.0,0.0,1.0,145.54045605099,146.06918620183998,145.08155818422,145.40079148285,387000.0
2013-02-13,145.99,146.52,145.144,146.47,337000.0,0.0,1.0,145.64021645681,146.16894660766002,144.79624342358,146.11906640475001,337000.0
2013-02-14,146.15,147.586,145.69,147.34,255000.0,0.0,1.0,145.79983310613,147.23239253370002,145.34093523935,146.98698193539,255000.0
2013-02-15,147.29,147.72,146.16,146.51,245700.0,0.0,1.0,146.93710173248002,147.3660714775,145.80980914671002,146.15897056708,245700.0
