Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2013-01-02,61.08,61.89,60.44,60.92,2309600.0,0.0,1.0,56.229541650656,56.975218283548,55.640365051828006,56.082247500949,2309600.0
2013-01-03,60.24,60.24,58.75,58.93,3352000.0,0.0,1.0,55.456247364694995,55.456247364694995,54.084570595548,54.250276513968004,3352000.0
2013-01-04,59.2,59.69,58.98,59.29,2862500.0,0.0,1.0,54.498835391598995,54.949923725077,54.296305935752,54.581688350809,2862500.0
2013-01-07,59.05,59.84,58.83,59.74,1850800.0,0.0,1.0,54.360747126248995,55.088011990427,54.158217670401,54.995953146859996,1850800.0
2013-01-08,59.71,60.61,59.45,60.07,2923200.0,0.0,1.0,54.96833549379001,55.796865085892,54.728982500516004,55.299747330631,2923200.0
2013-01-09,60.17,62.11,59.99,62.05,3383900.0,0.0,1.0,55.391806174197995,57.177747739394995,55.226100255777,57.122512433255,3383900.0
2013-01-10,62.35,62.37,61.36,62.24,3315300.0,0.0,1.0,57.398688963956005,57.417100732669,56.487306412643996,57.297424236032,3315300.0
2013-01-11,62.56,62.56,61.52,61.75,1985100.0,0.0,1.0,57.592012535445996,57.592012535445996,56.634600562351,56.846335902555,1985100.0
2013-01-14,61.46,62.69,61.07,62.44,1756400.0,0.0,1.0,56.579365256211005,57.711689032082994,56.2203357663,57.481541923166,1756400.0
2013-01-15,62.42,63.01,61.78,63.01,1852900.0,0.0,1.0,57.463130154453,58.006277331497,56.873953555625,58.006277331497,1852900.0
2013-01-16,62.79,62.85,61.6,61.85,2327900.0,0.0,1.0,57.80374787565,57.85898318179,56.708247637203996,56.938394746122,2327900.0
2013-01-17,62.13,62.62,61.92,62.42,2007800.0,0.0,1.0,57.196159508109,57.647247841587,57.002835936618006,57.463130154453,2007800.0
2013-01-18,62.3,62.75,62.02,62.75,1757800.0,0.0,1.0,57.352659542173,57.766924338224,57.094894780185,57.766924338224,1757800.0
2013-01-22,62.76,63.94,62.64,63.8,2186700.0,0.0,1.0,57.77613022258,58.86242457667,57.6656596103,58.733542195676,2186700.0
2013-01-23,64.5,65.0,62.66,64.83,4355100.0,0.0,1.0,59.377954100644,59.838248318479,57.684071379013005,59.681748284414994,4355100.0
2013-01-24,64.61,65.9,64.1,65.69,2701200.0,0.0,1.0,59.479218828568,60.666777910581,59.009718726377,60.473454339090004,2701200.0
2013-01-25,65.78,66.27,65.08,66.17,2478900.0,0.0,1.0,60.5563072983,61.007395631778,59.911895393332,60.915336788211,2478900.0
2013-01-28,66.27,66.31,65.44,66.06,2373300.0,0.0,1.0,61.007395631778,61.044219169205,60.243307230172995,60.814072060288,2373300.0
2013-01-29,66.21,66.41,65.72,65.95,3170700.0,0.0,1.0,60.952160325638,61.136278012771996,60.50107199215999,60.712807332363994,3170700.0
2013-01-30,66.14,66.3,65.37,65.39,1949800.0,0.0,1.0,60.887719135141,61.035013284848006,60.178866039676,60.197277808388996,1949800.0
2013-01-31,65.22,65.28,64.71,64.82,1716300.0,0.0,1.0,60.040777774326,60.096013080466,59.571277672135,59.672542400058,1716300.0
2013-02-01,65.04,65.37,64.53,65.32,1646500.0,0.0,1.0,59.875071855905,60.178866039676,59.405571753714,60.132836617893,1646500.0
2013-02-04,65.0,65.99,64.69,64.82,1482900.0,0.0,1.0,59.838248318479,60.749630869791005,59.552865903421,59.672542400058,1482900.0
2013-02-05,65.28,66.2,65.28,65.84,1784200.0,0.0,1.0,60.096013080466,60.942954441281,60.096013080466,60.611542604440004,1784200.0
2013-02-06,65.44,66.03,65.29,65.41,1869600.0,0.0,1.0,60.243307230172995,60.786454407217995,60.105218964822996,60.21568957710301,1869600.0
2013-02-07,65.56,65.81,64.95,65.7,1387700.0,0.0,1.0,60.353777842453006,60.583924951369994,59.792218896695005,60.482660223447,1387700.0
2013-02-08,65.98,66.62,65.38,66.28,1530500.0,0.0,1.0,60.740424985434,61.329601584262,60.188071924033004,61.016601516135,1530500.0
2013-02-11,66.06,66.19,65.4,66.01,894200.0,0.0,1.0,60.814072060288,60.933748556925,60.206483692746,60.768042638504,894200.0
2013-02-12,66.0,66.25,65.43,66.01,1114900.0,0.0,1.0,60.758836754147,60.988983863065,60.234101345816,60.768042638504,1114900.0
2013-02-13,64.14,64.84,62.85,63.0,5755600.0,0.0,1.0,59.046542263803,59.690954168772,57.85898318179,57.997071447140996,5755600.0
2013-02-14,63.07,64.02,62.63,63.29,2622200.0,0.0,1.0,58.061512637637996,58.936071651523,57.656453725943,58.264042093485,2622200.0
2013-02-15,63.18,63.81,62.57,62.7,2930700.0,0.0,1.0,58.162777365561,58.742748080032996,57.601218419803,57.72089491644,2930700.0
2013-02-19,60.72,62.8,60.41,62.77,3448500.0,0.0,1.0,55.898129813816006,57.812953760007,55.612747398758,57.785336106936995,3448500.0
2013-02-20,62.8,63.0,62.34,62.58,2462500.0,0.0,1.0,57.812953760007,57.997071447140996,57.389483079598996,57.61042430415999,2462500.0
2013-02-21,62.6,63.16,62.1,62.71,2014200.0,0.0,1.0,57.628836072873,58.144365596848004,57.168541855038995,57.730100800797004,2014200.0
2013-02-22,62.81,63.2,61.68,61.92,1973700.0,0.0,1.0,57.82215964436401,58.181189134274995,56.781894712058,57.002835936618006,1973700.0
